Author,Rating,Review Text,Review Text Length,Word Count,Avg Word Length,Rating Binary,Sentiment Polarity,Sentiment
Chris,1,definit worst experi ive ever store went purchas coupl credit card gift card canada post paid cash po comput froze without process transact wait mayb minut come back life luck decid forc use power button end freez upon startup ask money back refus state polici gift card arent refund hadnt even given receipt confirm gift card valu decid call intern help number place hold made wait minut ask speak manag manag refus provid refund state got phone confirm payment went could gift cardsnot money back explain cant take gift card without receipt still insist refund im quit certain legal entitl receipt word card valu close eight oclock close time tri shut restart till took mayb minut fulli boot comput take long comput processor made past year solid state drive take minut load fulli overheard employe talk say comput crash oftenthen dont call tech support replac end comput fulli startup confirm purchas go got money back worst part manag didnt apolog tri make situat better appear even care situat instead manag tri fix situat left two employe leav makeup depart laugh women biggest regret get name wast almost hour time,1121,189,4.936507936507937,0,-0.07755102040816327,neutral
Habib Khan,1,racist old ladi work went send someth decid send parcel due high ship cost extrem polit tell ladi want send anymor content worth even quot ship cost made audibl sound express frustrat make annoy face look away would say anyth would acknowledg anymor anyon canada post read pleas investig take action hire racist individu place team everyon els avoid locat,355,60,4.933333333333334,0,0.15583333333333332,neutral
Laura Egli,4,open late nice pretti much alway line locat staff help friendli someth alway find day,85,15,4.733333333333333,1,0.125,neutral
Gary Green,1,typic canada post work ethic arriv post offic locat insid shopper drug mart locat strandherd dr ottawa suppos open peopl line wait post offic open howev person work day kyle brown enquir pharmaci desk ask cp employe told kyle way type servic absolut ridicul drove mail one letter go wait kyle show employe like kyle brown honour hour work fire everyon line today happi wait inconsider employe canada post,404,69,4.869565217391305,0,0.0,neutral
Linh Nguyen,5,usual go except servic tall dude deep voic crack joke made laugh good vibe yesterday tough day apper staff member recent quit short staff line long send art work friend across countri gon na take prepaid box sinc didnt packag easiest option point there anoth option dont want track even cut cardboard help prevent art print damag much much appreci hope find good staff soon know he great job hold fort,401,71,4.661971830985915,1,0.1828282828282828,neutral
G V. E.,5,gentleman work post offic incred help servic,44,7,5.428571428571429,1,0.0,neutral
Luc Dupuis,5,harman provid except custom servic famili ensur packag super import us sent asap hope deal near futur,101,17,5.0,1,0.21666666666666667,positive
Darshan Patel,5,except servic provid harman support help suggest confus highli recommend place dont go rate,91,14,5.571428571428571,1,0.0,neutral
Becky Reid,1,canada post locat respect custom provid post busi hour open close want numer occas includ today arriv well within post hour oper see close accept standard busi practic addit happen open provid extrem slow servic common line minut even one person ahead highli recommend go differ locat,284,47,5.0638297872340425,0,-0.12000000000000002,neutral
Al,5,honestli dont know postal offic bad rate serv bev bilingu super nice go alot differ postal offic bev probabl top favorit staff effici serv smile,144,25,4.8,1,0.2066666666666667,positive
Faiz H,5,dont know fuss packag individu address smooth process codi carri great convers us explain procedur get sent let deal custom larg multi shipment promis youll easi effici time codi behind desk thank help,201,33,5.121212121212121,1,0.2666666666666667,positive
Stacy DuBois,1,wait minut employe final came help insist incap print return label onlin purchas even though routin thing ive done mani canada post locat ask call someon could actual help refus insist person charg took packag anoth post offic surpris surpris quickli easili print return label accept packag definit wont bother return locat sinc appar dont seem know system work,361,59,5.135593220338983,0,0.0,neutral
Kayla Monaghan,1,dont trust post hour arriv pm day suppos open pm alreadi close,62,12,4.25,0,0.0,neutral
techie tran,5,give ampl time sinc shop quit busi pm long line custom wait serv might end leav fullhand decent experi staff big thank thre help send sever heavi larg box,154,29,4.344827586206897,1,0.03888888888888888,neutral
Pitch Sookmark,1,use ship pick differ branch year forc come new branch year back canadapost realli hate branch due long line slow letharg servic old ladi old branch process mail twice fast traine also packag pick couldnt find week made go thru claim deni canadapost insist packag branch month later decid go back tri wasmi packag one call tell sit week apolog kind plead w canadapost go back old branch avail best could avoid use canadapost altogeth whenev,439,76,4.7894736842105265,0,0.0640909090909091,neutral
Josh Matthews,1,canada post employe serv custom mask covid pandem rule appli custom custom toler regul inconsider patron want spread diseas other canada post employe enforc face mask rule,171,27,5.37037037037037,0,-0.125,neutral
Allison Smith,1,post offic close today sign way leav prepaid packag frustrat post lunch closur open time,88,15,4.933333333333334,0,0.0,neutral
Reema Sriv,5,kind courteou staff hardli queue go afternoon,45,7,5.571428571428571,1,0.6,positive
Jagtar Sian,1,worst custom servic lighter man canada post desk refus scan return packag happen twice alreadi canada post doesnt enforc proper train polici retail sent two express post packag friday didnt show progress tuesday even although promis deliv two day system still show schedul deliveri end next day,294,47,5.276595744680851,0,-0.3333333333333333,negative
SaRa NeGm,1,last time use servic sent import document canadian govern xpress option lost document track number show transit updat avail custom servic worst unhelp kept say work thought canada post best deliv document absolut wrong never use import packag,242,38,5.394736842105263,0,-0.125,neutral
Jon D,1,slowest servic ive ever experienc think took minut servic peoplenot like up fedex that sure,91,15,5.133333333333334,0,0.5,positive
Craig Bittle,1,never even attempt deliv packag said werent abl deliv locat hous get thing deliv weekli websit updat say could deliv even attempt disappoint canada post,152,25,5.12,0,0.0,neutral
Melanie MacRae,2,sent time sensit letter xpresspost friday may track said deliveri today may pm item rerout due process error cost letter clerk chang postal code origin given addresse say postal box call said addresse advis letter sent xpresspost gave track number postal code chang clerk inform addresse longer postal box letter get return void time sensit happi right postal code clerk think canada post info comput said updat info cost money updat may th postal code wrong per canada post postal code deliveri occur letter found per canada post supervisor ottawa pm today arrang made busi deal unaccept crown corpor outlet,608,100,5.09,0,-0.1130952380952381,neutral
Danielle,5,alway great experi staff canada post even im best mood wait packag staff continu goe beyond appreci much day staff great usual deal johnathan night he usual larg line deal everyon quickli possibl smile realli except servic,222,37,5.027027027027027,1,0.3714285714285714,positive
VK,1,yesterday even employe chat one client minut line keep grow readi spend minut hour send someth,94,16,4.9375,0,0.0,neutral
Sami LastName,5,super kind amount packag alongsid help get readi ship fran absolut awesom,73,12,5.166666666666667,1,0.4666666666666667,positive
Aisha,1,dont wast time come branch problem branch first time today mail send custom year never problemsth old woman tri best send parcel that said point would believ doesnt deserv point abl send cargo within minut went canada post eaglosan street ahead,244,41,4.975609756097561,0,0.45,positive
Zee Vodkaphile,1,could give zero star would post offic terribl hate one parcel go default let start fact theyr often close singl sign post counter say close today sorri without chang hour post onlin time last week ive went pick packag place close one reason without anyth post onlin ive liter never experienc year use mail went back time decemb pick packag christma gift close due technic difficulti time still sent packag back sender within allot day pick pay duti reship grace period pickup due close multipl day feel bad manag rexal store page review bomb rate explicitli mention post offic noth actual rexal,594,102,4.833333333333333,0,-0.21875,negative
Vadym Serdiuk,1,worst custom servic ever instead help send packag organ second line wait everi client servic total took approxim one hour send parcel old ladi someth also blame front peopl line,177,30,4.933333333333334,0,-0.225,negative
DL Calendar,1,take extra drive shopper eagleson post offic canada honest worst custom servic ever canada post offic stand alon pharmaci ever seen seinfeld tri order soup imagin post offic take simpl taskjob make custom jump hoop job liter refus assist former staff wonder yr ago reason ship fedex today visit return amazon def last besid judg occup mall wont long serious pick anoth post offic canada post better locat everyon benefit,420,70,5.014285714285714,0,-0.035416666666666666,neutral
Lola Artesanal,2,unbeliev slow custom servic older ladi ship packag spend least minut per person complet oblivi fact least peopl line avoid go afternoon,135,22,5.181818181818182,0,-0.18333333333333335,neutral
Henry,1,sure ladi encount ladi review mention servic realli poor argument came time id verif twice parcel drop off short angri ladi alway rude show proofdocument websit process one servic request she constantli phonedistract overal pleasant would highli recommend insist get track receipt anyth drop take second protect show canada post receiv item get lost somehow,357,55,5.509090909090909,0,0.08888888888888886,neutral
Carl Asuncion,1,femal employe dealt afternoon canada post locat horribl confront dismiss second got counter sit regist intent provid servic wait patient gave return parcel final acknowledg refus give receipt cite pm go scan return end shift told best advic take pictur return label want track told problem could go anoth canada post locat feel explain respect calmli ask receipt return common never issu past pleas challeng approach left curs breath clearli audibl way hope review help someon avoid unpleas experi one tri best never return im guess that exactli prefer well given treat,569,92,5.195652173913044,0,0.20714285714285713,positive
Alex Boyce,1,picki individu would gener lean away write neg onlin review mani individu review staff fact correct femal individu moodi confront toward custom time larg amount servic lean toward deliveri postag assist individu import toward daili live unfortun see staff will assist custom youv arriv minut close excus made order avoid assist custom mani peopl day order thing onlin due littl altern assist nation postag compani key mani level mani peopl would happi job like show effort gratitud opportun,490,78,5.294871794871795,0,0.0037878787878787845,neutral
P. L.,1,terribl servic new worker use locat long time ask mani time postal code hk sent packag told dont use postal code said better postal code day later receiv packag back door explan canada post give peopl choic pay track without track dont help even receipt prove wast money time go locat,284,51,4.588235294117647,0,0.11727272727272726,neutral
Emma -,5,read review surpris see peopl treat realli poorli staff doubt true experi issu ever neither ladi post canada section dont know name nice know person neg review refer clerk regist dont go often notic name ask even know alway peopl want share experi issu peopl nice polit hope ever wrong peopl chang attitud write review hope make differ help other well busi improv servic receiv encourag right thing ideal busi address neg comment tri solv issu,443,76,4.842105263157895,1,0.3015306122448979,positive
Sherry Xie,2,went send packag canada post pm monday nobodi told employe late noth could help wish rexal employe train help custom simpl return,129,22,4.909090909090909,0,-0.3,negative
Phil Yassa,5,prefer locat one shopper drug mart south key staff seem posit courteou ive never realli wait line complaint,107,18,5.0,1,-0.15,neutral
Merlin,1,rude girl work behind counter last night serious need get anoth job cant wont least semi courteou joke realli,109,19,4.7894736842105265,0,-0.26666666666666666,negative
Al,4,situat insid rexal usual one staff checkout sometim gather long line up,71,12,5.0,1,-0.15,neutral
Adrian Marko,5,use facil number year never problem purchas stamp mail receiv parcel regist letter arrang holdmail everyon friendli effici knowledg employe elsewher store tap bell right,169,25,5.8,1,0.2857142857142857,positive
V,3,post offic employe great employe shopper terribl new neighborhood told post offic close manag shopper angri ask yell snape gave wrong direct find differ post offic purpos brought unsaf area late night next day saw smirk grin question individu,242,39,5.230769230769231,0,0.0393939393939394,neutral
Deanna Robertson,1,everi singl time come one person work canada post counter line least peopl long wait alway minut never call helphav anoth person avail open anoth cash ridicul pm need two peopl simpl,182,32,4.71875,0,-0.11666666666666665,neutral
Jacqueline Menard,1,poor servic went montreal road may return packag scan item given run around call canada post ticket investig scan appar canada post ridicul receiv item item even went talk guy youssef scan one item said cant anyth call canada post mean lose refund return youssef forgot scan unaccept,283,48,4.916666666666667,0,-0.35625,negative
Cody Alberry,1,come drop packag time never take less minut ever one staff member cash inevit boomer need minut help hold line,110,20,4.55,0,-0.16666666666666666,neutral
First Time Grow,1,look deal someon hate job tell reason wait min ask shopper drug mart employe page serv told employe morn tea wait place rude staff sudgest come back insult readi prepar insult welcom inconveni said would think peopl would happi still job day tho locat,251,44,4.7272727272727275,0,-0.3666666666666667,negative
Kelly,1,everi singl time come arent desk sign away minut never consist time break time everi day second time come mail packag gone sign say back minut stand longer minut,161,29,4.586206896551724,0,0.0,neutral
Al,4,sometim long line staff onsit peak hour staff alway avail question kind,71,12,5.0,1,0.27499999999999997,positive
Jessica Hebb,1,websit show post offic open there sign tape say websit updat hour chang,71,13,4.538461538461538,0,0.0,neutral
Jessica Erhardt,5,alway kind staff saw comment regard hour find alway reason one staff still deserv lunch break unfortun close break happen work favourit locat,141,23,5.173913043478261,1,0.6,positive
Tamara Mask,1,suppos open today even pm one note say temporarili close,56,10,4.7,0,0.0,neutral
Dashan Wang,1,custom servic old male clerk left min person reason peopl wait clerk way slow,77,14,4.571428571428571,0,-0.05000000000000001,neutral
Zafaar Shawnawrooz,1,schedul show open past one yet line get longer lol final someon said post offic open till today,95,18,4.333333333333333,0,0.11000000000000001,neutral
Al,4,custom servic soso clerk look realli bore didnt talk loud enough hear properli still conveni locat rare huge lineup,115,19,5.105263157894737,1,0.2,positive
Marlie Hensen,1,older indian gentleman work august th horrend wit yell coworkercal name degrad mistak man made speak phone custom older man liter grab phone hand stood sever minut watch unfold worri berat cowork front menor get packag taken care time manner report incid sever shopper staff member assum pull come canada post staff regardlessthi man need anger manag reliev job,361,59,5.135593220338983,0,-0.12222222222222222,neutral
Jiani Li,5,nice help peopl person help soheil patient confus receiv address format switzerland help lot packag notic want ship someth glass manag post offic smile sleep work,162,26,5.269230769230769,1,0.44999999999999996,positive
"Nghia Huynh, Ca",5,experienc bad time good time staff friendli atmospher happen littl patienc understand good commun patient wait line,115,17,5.823529411764706,1,0.23333333333333336,positive
Back 2back,5,great custom servic thank girl work,35,6,5.0,1,0.8,positive
hsurms k,1,one pathet hopeless uselss canada post locat experi today th jan locat older ladi around pm know job say favor stay get fire come rd first time locat servic second young ladi dint know perform servic told polit pathet rude hopeless ladi todaay interest job instead polit say incompet say favor come job blot canada post blot humanitydarci wayn fire peopl disservic canyt even apologis incompet hopeless,402,67,5.014925373134329,0,0.04333333333333332,neutral
Anastassiya Puchshina,5,darci team amaz servic alway profession quick possibl work hour also perfect downtown locat,91,14,5.571428571428571,1,0.6666666666666666,positive
Ali Saleem,5,guy work help keep,18,4,3.75,1,0.0,neutral
Audrey B,5,hashim kari amaz job answer question provid price option send mail hashim also provid date inform postal outlet closur open neighbourbood team,142,22,5.5,1,0.0,neutral
Rosa,1,paul rude condescend multipl occas recent told purchas tape close packag wouldnt let use tape tabl,98,16,5.1875,0,-0.15,neutral
Phil M,5,great locat servic alway quick help sure previou review refer softwar canada post use point sale system regardless franchis plu employe franchis owner dont stand benefit scam custom review accus,194,30,5.5,1,0.5444444444444444,positive
Bob S,1,canada post scam older gentleman tri charg packag ive ship locat like independ servic center contractor make money dishonesti real canada post would employe noth gain overcharg,176,27,5.555555555555555,0,0.08888888888888889,neutral
Raghad Rowaida,5,sent small parcel bangladesh covid time took day reach custom servic help,73,12,5.166666666666667,1,-0.25,negative
Sandra Yilmaz,5,year use po rememb bad experi staff whoever dealt alway help question alway courteou well sometim especi around christma wait line long best plan ahead staff overwork smile compliment alway help time,199,32,5.25,1,0.1375,neutral
A W,1,could give zero star would marival shopper drug mart canada post locat canada post locat usual go up accident print canada post label choic come requir purchas tape stick label box help unlik up drop box label everyth,217,38,4.7368421052631575,0,-0.25,negative
Gary Howard,1,poor paid overnight peterborough sept track say arriv sept spoil occas ship aug arriv sept occas sept doubli assur two clerk would problem well done cp,151,26,4.846153846153846,0,-0.4,negative
Zeina Naserdine,1,terribl custom servic came return packag drop without receipt pm staff wouldnt take jasmeet ladi serv kept yell say she go miss bu told import today last day return respond dont care get anoth gentleman came told everyon els leav well extrem unaccept given shift wasnt come back locat demand address open bigger complaint bbb,325,55,4.927272727272728,0,-0.06,neutral
Mandi,1,come locat mani time staff alway unfriendli hate pick packag deal locat ive never one posit experi time ive go staff bad attitud run hire process also differ polici individu make wonder actual train come whatev polici suit time aw around,237,41,4.804878048780488,0,-0.5,negative
Lorne Goldenberg,1,wait min lineup someon get train intern ship ask could help anoth cash indic ever finish answer train anoth hour could walk packag montreal faster,146,25,4.88,0,0.0,neutral
Guillaume Billette,5,fast servic clerk nicew,23,4,5.0,1,0.2,positive
Elizabeth H,5,everi time go go least week think ive met everybodi work peopl behind counter friendli patient help theyr happi explain differ ship option answer question check youv ad enough postag lend bit tapea pen forgot nice place even sometim line,237,40,4.95,1,-0.024999999999999994,neutral
catherine desjardins,5,custom post offic year great group employe pharmasav well vers multitud offer canada post retail post offic own oper canada post cda post see sell product employe paidwork byfor pharmaci one complaint home mail deliveri speak cda post noth retail outlet employe friendli keep line move thru best abl best custom prepar post deliveri let packag go thru letter system big meet letter size deliveri item would destroy autom cda post sort system listen recommend know say get bonu charg morethey tri get packag ever want go great group highli recommend local post offic,565,94,5.0212765957446805,1,0.41111111111111104,positive
Pippa Beck,1,also found servic extrem poor border contemptu seem take glee point custom improperli packag thing address thing etc small packag place insid envelop hope could sent envelop parcel woman serv made bit show prove thick drop plastic slot measur tool star although regist one post review,284,46,5.195652173913044,0,-0.3166666666666667,negative
mysterious,1,better dont go worst worst attitud went uber verif gave licens health card proof id said accept never problem like said need passport licens also mail billsh like dont make rule talk tritonverif agenc said health card licens suffici dont know get job,250,43,4.837209302325581,0,-0.5,negative
R,1,avoid canada post locat almost alway busi even odd peak hour slow busi there alway like peopl money transfer take minut alway peopl prepar packag employe slow assist person well come pre prepar label packag readi drop wait minut everi time there employe let leav packag counter main employe refus allow leav what point pre prepar packag wast time wait line cant canada post secur drop bin insid outlet id suggest head street thistledown locat one finch east islington much less hassl wait around love area year sure taken long pair,531,91,4.846153846153846,0,0.02291666666666666,neutral
preetha n,5,serv ankita help friendli realli appreci servic,47,7,5.857142857142857,1,0.0,neutral
Yanci Flores,1,get work canpost isnt exactli easi time get lot bad custom believ behav accept manner toward custom give genuin smile polit staff isnt first time go locat one guy front desk give attitud reason tend avoid locat unfortun cant alway pleas nice custom arent ahol,259,45,4.777777777777778,0,0.11250000000000003,neutral
Tom Thompson,1,go place steal peopl stuff two asian look guy work thiev realli incompet ive sent stuff mani time second go stuff get lost stole lose worth stuff count money paid sent canada post place go anywher,196,36,4.472222222222222,0,0.09999999999999999,neutral
Mohammad Abu-Marzouk,5,recent visit canada post offic mississauga ontario insid shopper drug mart hurontario street blown away except servic support provid local small busi staff profession also extrem friendli welcom soon walk greet warm smile genuin desir help find best ship solut need your look canada post offic truli goe beyond support local small busi look offic run filiz team kiran manjusha pleasur assist filiz went beyond ensur receiv best possibl servic took time understand busi need offer varieti solut would help save compani money dedic willing help left last impress staff incred knowledg help also go way promot small busi program save money ship cost filiz particular absolut gem she alway eager help find creativ way save compani money still ensur document arriv time overal highli recommend canada post offic locat anyon look except servic support small busi staff knowledg friendli alway will go beyond ensur everi client satisfi happi your small busi owner look ship partner care success offic,993,159,5.251572327044025,1,0.13921568627450978,neutral
Cynthia Yi,1,extrem horribl custom servic checkout desk person reject provid servic instead shout accus use self checkout manag clarifi job duti person educ that get pay,156,25,5.28,0,0.0,neutral
Kevin Arrata,1,complet incompet make rule id want accept uneduc role unawar speak custom abysm experi around ill contact head offic,116,19,5.157894736842105,0,-0.5,negative
Majdi Shahein,1,horribl experi today supervisor said she one immedi made complaint head offic told complaint taken serious escal right peopl let see well go canada post long still work,168,28,5.035714285714286,0,-0.13952380952380955,neutral
N. Gomes,1,went canada post outlet shopper drug mart store insid squar one mall guy hawza terribl sens long line custom continu person convers cellphon possibl person could ignor custom vent person end line colleagu fire ruin situat employe,229,37,5.216216216216216,0,-0.05,neutral
Manuj Jain,1,told write sender name bottom letter letter return quit surprisingli ask logic appropri reason given ask rule show written book neither canada post websit abl justifi statement send letter decad one ever object write sender name bottom never heard mail return make rule impos peopl without reason,296,47,5.319148936170213,0,0.0,neutral
Nazim Ali,1,wish give star long line one person work also slow,50,10,4.1,0,-0.17500000000000002,neutral
Max Mahone,5,rishma help she help profession unlik mani staff member idea theyr,66,11,5.090909090909091,1,0.0,neutral
Gurleen Nagpal,1,bad servic even busi hour there employe alway understaf spend min custom,72,12,5.083333333333333,0,-0.6999999999999998,negative
Mctpy L,2,slow servic usual employe would lot faster pick line line custom alreadi know want vs confus custom,99,17,4.882352941176471,0,-0.275,negative
Marium Owais,1,ladi behind canada post counter rude went coupl day ago pick parcel sign say temporarili close estim time open noon read came rude loudli said close close repli ye read sign mean truli need class manner custom servic,216,38,4.7105263157894735,0,-0.2625,negative
nicholas sangineto,1,ladi patient talk face face suddenli left start someth els without say anyth listen polit peopl toronto,103,17,5.117647058823529,0,0.0,neutral
M Lau,1,older ladi behind counter incompet rude ask question immedi spoke blame custom couldnt job correctli let go back,112,18,5.277777777777778,0,-0.13333333333333333,neutral
ryan douros,1,woman glass rude elderli man ask question talk yell told wait turn disrespect unprofession,90,14,5.5,0,-0.3,negative
Shivam Verma,5,young ladi work good support friendli seen mani custom rude without reason like today issu system postal code suggest googl search person insist go back blame runaround feel sorri came say user alleg termin good sake new system pleas treat employe human manner see peopl post neg comment posit one pleas show side,313,53,4.9245283018867925,1,0.19090909090909092,neutral
John H,5,lena absolut sweetheart alway goe beyond help custom come canada post refus serv anyon els truli remark person dont believ peopl say,132,22,5.045454545454546,1,0.0,neutral
Zain A.,1,ladi name lena work canada post look money gram rude couldnt speak nice liter need train talk person nice provid custom servic calm first visit canada post didnt help understand thing kept answer rude want leav place go anoth canada post rain didnt car bare write review custom servic forc write one serv ladi name lena experienc worst custom servic yet rude start call ask moneygram,383,66,4.818181818181818,0,-0.011111111111111115,neutral
Ayah Tarot,1,would given zero post offic absolut rudest person work mess christma card envelop marker without ask rude custom survey self make posit feedback first foremost fill custom satisfactori feedback self without ask put posit experi like couldnt caught wouldv put neg experi push button first still disbelief,303,47,5.468085106382978,0,0.0062500000000000056,neutral
Stacy Wang,1,dont know name guy woman glass long black hair man place liter dont know what also racist bad experi never want go back,119,23,4.217391304347826,0,-0.22916666666666663,negative
May Zhu,1,disappoint custom servic ladi name lena need learn talk peopl polit calm basic yell idea got mad that way talk,110,20,4.55,0,-0.10833333333333332,neutral
Maria Annunziata,5,great custom care polit help thorough truli care custom need especi around price closer anoth postal outlet ladi work canada post outlet way better other closer live hope canada post reward employe year rais promot day peopl superfici nice find folk enjoy kudo issu shopper park space wish manag would allow park back get busi becom harder find park,349,59,4.932203389830509,1,0.27642045454545455,positive
ToTo Ent,1,pleas train employe better serious let peopl dont know rule work came commerci ship label ship label said kg im allow ship kg staff refus scan item pick employe probabl,168,30,4.633333333333334,0,0.08333333333333334,neutral
Leonard,4,post offic friendli employe great servic clean well maintain amazon purchas deliv conveni con shopper drug mart park lot small tight easi exit time open hour promin post open day week unlik previou locat keel lawrenc longer drive well worth effort big thumb everyon differ opinion experi visit alway posit,305,50,5.12,1,0.12976190476190477,neutral
Junior Kam,1,act pro rush send packag wrong address,38,7,4.571428571428571,0,-0.5,negative
M,5,femal staff canada post friendli sweet person especi weekday also knowledg postal skill canada post servic excel fast custom servic,131,20,5.6,1,0.275,positive
Aarman Pervaiz,1,wrost servic fadeel brought amazon box return reject dont go locat rude person zero custom seriv skillsi told paid return label wont rude person ignor took next person goe help custom,183,31,4.935483870967742,0,-0.19999999999999998,neutral
Sumesh T,1,absolut ridicul custom care loot money peopl send normal mail sent mail destin first time charg today charg,107,18,5.0,0,0.2,positive
h,1,unhappi went drop mail ladi made courier unnecessarili make money couldv sent mail find way loot custom,103,17,5.117647058823529,0,0.0,neutral
Vishal Narayan,1,anyth work cant randomli shut post offic feel even though within offici busi hour essenti servic,96,16,5.0625,0,0.0,neutral
Jamie,5,ive experienc satisfi servic ladi help process packag sweet profession excel post offic town thank amaz servic,110,17,5.529411764705882,1,0.35,positive
