Name,Author,Rating,Review Text
,Josh Matthews,1,Canada post employees serving customers who were not masked during the COVID-19 pandemic. The same rules should apply to all customers. Customers should not have to tolerate or regulate inconsiderate patrons who want to spread disease to others. Canada post employees should be enforcing face mask rules.
,Allison Smith,1,The post office was closed at 1:10 today until 1:45 with just a sign and no way to leave a pre-paid package. Very frustrating. They should post lunch closures in the opening times
,Reema Sriv,5,Kind and courteous staff. Hardly any queue if you go in the afternoon.
,Jagtar Sian,1,"Worst customer service:

1. Lighter man at Canada Post desk refused to scan the returning package.
This happened twice already. Why Canada Post doesn't enforce proper training and policy to their retailers?

2. I sent two Express Post packages, Friday, and they didn't show any progress until Tuesday evening. Although, it was promised to be delivered in two days but system is still showing ""Scheduled delivery by end of next day""."
,SaRa NeGm,1,"This is the last time I will use their service. We sent very important documents to the Canadian Government on Xpress option, and they have lost the documents!!.
The tracking number only shows that it's in transit and no further update is available and customer service are the worst they are unhelpful and kept saying they are working on it.
I thought Canada post will be the best to deliver these documents but I was absolutely wrong.
Never use them for your important packages!"
,Jon D,1,Slowest service I've ever experienced. I think it took them 25 minutes to service 7 people...not like that at ups or FedEx thats for sure.
,Craig Bittle,1,"Never even attempted to deliver my package, they said they weren’t able to deliver at this location. My house where I get things delivered weekly! The website was updated to say they could deliver before they even attempted. Disappointed in Canada post."
,Melanie MacRae,2,"I sent a time sensitive letter by xpresspost on Friday May 13/22. Tracking has said out for Delivery today May 17/22 at 7:34 am, by 2:10 p.m. item re-routed due to processing error. The cost for this letter was $19.14. The clerk changed the postal code from what I was originally given by the addressee, saying there was a postal box. I called said addressee to advise the letter was sent xpresspost and gave tracking number and the postal code changed by the clerk. I was informed by the addressee that they no longer had the postal box. So now if this letter gets returned , it voids my time sensitivity. Not very happy that I had the right Postal Code and the clerk thinks I did not because the Canada Post info on it’s computer said so. Update your info. This is now costing me money. So update as of May 30th/22 Because of the postal code being wrong as per Canada Posts Postal Code, delivery has not occurred and now the letter cannot be found, as Per a Canada Post Supervisor in Ottawa as of 1:30 p.m. today. Other arrangements had to be made for business I was dealing with. This is unacceptable for a Crown Corporation and outlets!"
,Danielle,5,I have always had such great experiences with the staff at this Canada Post. Even when I'm not in the best mood waiting for packages the staff continuously goes above and beyond for me and I appreciate it so much! The day staff is great but I usually deal with Johnathan at night he's usually by himself with a large line dealing with everyone as quickly as possible with a smile. Really exceptional service!
,VK,1,"Yesterday evening the employee was chatting with one client over 15 minutes, while the line keep growing. Be ready to spend there 30 minutes or an hour to send something."
,Sami LastName,5,They were super kind about the amount of packages alongside helping me get them ready to ship out. Fran is absolutely awesome!
,Aisha,1,"Don't waste your time coming to this branch. I had a problem in this branch for the first time today for my mails that I have been sending to my customers for 2 years and have never had any problems.The old woman tried her best not to send my parcel. and that's what she said. If there was 0 points, I would believe it because it doesn't deserve 1 point. I was able to send the same cargo within 3 minutes when I went to Canada post on eaglosan street just ahead."
,Zee Vodkaphile,1,"If I could give zero stars I would. This post office is terrible. I hate that it's the one all my parcels go to by default. Let's start with the fact that they're often closed, with a single sign posted on their counter that says ""closed today, sorry"" without changing the hours posted online. 5 times in the last 6 weeks I've went to pick up a package, and this place is closed for one reason or the other, without anything being posted online. I've literally never experienced this in 30 years of using mail. I went back 3 times in December to pick up a package that was a Christmas gift... they were closed due to ""technical difficulties"" all 3 times. But still sent my package back to the sender within their allotted 15 days to pick up. Had to pay duties and reshipping. No grace period for pickup due to you being closed multiple days?

I feel so bad for the management at Rexall, because their store page is review bombed with ratings that explicitly mention the post office, and have nothing to do with the actual Rexall."
,Vadym Serdiuk,1,"Worst customer service I ever had.
Instead of helping me to send the package she organized a second line and I waited for every other client she serviced. In total it took approximately one hour to send a parcel. That old lady is something. She also blamed me in front of other people from the line…"
,DL Calendar,1,"Take the extra drive down to Shoppers on Eagleson or any post office in canada to be honest. Worst customer service ever at a Canada post office (stand alone or in a pharmacy). Ever seen Seinfeld try to order soup? Now imagine it at a post office. They take a simple task/job and make the customer jump through hoops and do their job for them. Literally refuse any assistance. Former staff were wonderful (more than 5yrs ago). They are the reason I ship with FedEx now. Todays visit (for a return to Amazon) will def be my last. Besides, judging by the occupancy at the mall, they won’t be there long.

Seriously, pick another post office or Canada Post; do better at this location. For everyone’s benefit"
,Lola Artesanal,2,"Unbelievably slow customer service with the older lady. Shipping a package, she spends at least 10 minutes PER PERSON, completely oblivious to the fact that there are at least 5 people in line. If you can avoid going in the afternoon!"
,Henry,1,"Not sure if the lady I encountered is the same lady other reviewers have been mentioning but the service here is really poor and argumentative. I came here a few times, once for an ID verification and twice for parcel drop offs and the short angry lady is always so rude. Had to show her proof/documentation from the website for her to process one of my service requests, she's constantly on her phone/distracted and just overall, not pleasant. Would highly recommend you insist you get a tracking receipt for anything you drop off, it only takes a few seconds but protects you to show Canada Post received the item, should it get lost somehow."
,Carl Asuncion,1,"The female employee I dealt with this afternoon at this Canada Post location was horrible. She was confrontational and dismissive from the second I got to the counter. She was sitting by the register but had no intention of providing me a service. I waited patiently and gave her my return parcel when she finally acknowledged I was there. Then, she refused to give me a receipt citing that it was only 4:45 PM and she was going to scan all returns at the end of her shift. She told me her best advice was to take a picture of the return label if I wanted to track it. Then she told me that if I had a problem with that, I could go to another Canada Post location. I feel that I explained respectfully and calmly that asking for a receipt for my return is common and has never been an issue in the past. She was not pleased with me challenging her approach. When I left, she cursed me ""under her breath"" but in a clearly audible way. I hope this review helps someone avoid such an unpleasant experience. I, for one, will try my best never to return. I'm guessing that's exactly what she prefers as well given how she treated me."
,Alex Boyce,1,"Not being a picky individual i would generally lean away from writing any negative online reviews, but many individual reviews about the staff are in fact correct. Female individuals are moody, and confrontational towards customers. In times where a large amount of service is leaning towards delivery, and postage where assisting individuals is important towards our daily lives it's unfortunate to see staff that is not willing to assist customers because you've arrived 7 minutes before closing, and excuses are made in order to avoid assisting customers. Many people now days are ordering things online due to little alternative, and the assistance of a national postage company is key on many levels. There are many people who would be very happy to have a job like this and show effort and gratitude for such an opportunity."
,P. L.,1,"Terrible service with the new worker. I have been using this location for a very long time. Asked me many times about postal code in HK when I sent my package and I told her that they don't use postal code and she said to me that ""it's better to have a postal code"".  3 days later, I received my own package back at my door with no explanation. Canada post give people a choice to pay for tracking or not, but without tracking , they don't help you at all even you have a receipt to prove. Wasting my Money and time. Do not go to this location"
,Emma -,5,"I have been reading reviews and I am surprised to see some people were treated really poorly by the staff. I do not doubt it was true, but in my experience, I had no issue what so ever. Neither with ""a"" lady at the Post Canada section (I don't know her name, but she was nice to me and I do not know if she is the same person the negative reviews are referring to) or with the clerk at the register. I don't go there often to have noticed their names or asked them, or to even know if it is always the same people.
I just want to share ""my"" experience. I had no issue and people were very nice and polite with me.
I hope who ever wronged the other people will change their attitude.
After all, we write reviews hoping it will make a difference and help others, as well as the businesses to improve their service, or to receive some encouragement if they are doing the right thing.
Ideally, the business will address the negative comments and try to solve the issues."
,Sherry Xie,2,"Went to send a package at the Canada Post at 4:40pm on Monday and there was nobody there, was told the employee was late and there was nothing they could do to help me. Wish the Rexall employee was trained to help customers with simple returns."
,Phil Yassa,5,"I prefer this location over the one at Shoppers Drug Mart in South Keys. The staff here seems to be positive and courteous, and I’ve never really had to wait in line. No complaints"
,Merlin,1,Rude girl working behind the counter last night…. Seriously needs to get another job if she can’t or won’t at least be semi courteous. Joke really!!
,Al,4,"Situated inside the Rexall. Usually only one staff at checkout only, which sometimes gathers long line ups."
,Adrian Marko,5,"I have been using this facility for a number of years. I have never had any problem, purchasing stamps, mailing & receiving parcels & /or registered letters, arranging "" hold-mail'. Everyone there are friendly, efficient, & knowledgeable. If employee is elsewhere in the store, a tap on the bell & they are right there."
,V,3,"The Post Office employees are great but the employees at the Shoppers are terrible. I was new in the neighborhood was told the post office was closed, the manager of the shoppers was angry, when I asked so he yelled and snaped at me. He gave me the wrong directions to find a different post office (on purpose) which brought me to an unsafe area, and it was late night. The next day when he saw me he was smirking, and grinning... very questionable individual."
,Deanna Robertson,1,"Every single time I come here there is only one person working at the Canada Post counter and a line at least 5 people long. The wait is always 15+ minutes and they never call for help/have another person available to open another cash. Ridiculous. If it’s 5pm, you need two people. Simple as that."
,Jacqueline Menard,1,Very poor service I went to 541 Montreal road may 23 2023 to return packages and they did not scan my item. I have been given the run around call canada post. I cannot have a ticket to investigate as it was scanned but apparently not by canada post. That is ridiculous because they received my 3 other items and not this item. I even went to talk to the guy Youssef who did not scan my one item and he said I can’t do anything call Canada post. This means I lose 150$ for a refund that I returned but Youssef forgot to scan. This is unacceptable!!!
,Cody Alberry,1,I come here to drop packages off all the time and it never takes less than 30 minutes. they only ever have one staff member at the cash and inevitably some boomer needs 30 minutes of help and this hold up the while line.
,First Time Grow,1,"If your looking to deal with someone who hates there job and tells you the reason you waited 5 min then had to ask a shoppers drug mart employee to have them paged to serve you , only to he told the employee was having there morning tea and you should have waited.
Then this is the place rude staff , i sudgest you have a few come back insults ready or be prepared to be insulted and be welcomed as a inconvenience.  That being said you would think people would be happy to still have a job these days but not thos location."
,Kelly,1,"Every single time I come in, they aren't at the desk and have signs that they are away for 5-20 minutes. It is never consistent timing. If they are on breaks, they should be the same time every day. It is the second time I come to mail this package and they are gone. A sign says back in 5 minutes but I have been standing here for longer than 5 minutes now."
,Al,4,"Sometimes has a long line up, should have more than 1 staff onsite during peak hours. Other than that the staff are always available for question and very kind."
,Jessica Hebb,1,Website shows that the post office opens at 9am and there’s a sign just taped up saying 12. The website should be updated if the hours change.
,Jessica Erhardt,5,Always kind staff. I saw comments regarding hours… I find they always have a just reason for it. When there is one staff they still deserve a lunch break so unfortunately it has to close for that break to happen. It’s the same at my work. This is my favourite location.
,Tamara Mask,1,"Is supposed to be open until 5 today, it's not even 4pm and there is no one there or no note saying that it's temporarily closed."
,Dashan Wang,1,"No customer service. The old male clerk left for over 20mins for personal reason and people has to just wait.

The clerk himself is way too slow"
,Zafaar Shawnawrooz,1,"Their schedule shows open at 9:00AM
It is past 9:10 am and no one here yet
The line up is getting longer lol
Finally someone should up and said “the post office is not opening till 11 today"
,Al,4,"Customer service is so-so. The clerk looked really bored and didn’t talk loud enough for me to hear properly. Still, very convenient location and rarely has huge line-ups."
,Marlie Hensen,1,"The older Indian gentleman that worked there on August 30th was horrendous. Witnessed him yelling at his coworker…calling him names, degrading him. It was over a mistake the other man made when speaking on the phone to a customer (the older man literally grabbed the phone out of his hand). I stood there for several minutes watching this unfold and he had no worry about berating his coworker in front of me…nor with getting my packages taken care of in any timely manner. I reported the incident to several Shoppers staff members, but I assume they have no pull when it comes to the Canada Post staff. Regardless-this man needs anger management and to be relieved of his job."
,Jiani Li,5,"Very nice and helpful people! The person that helped me, Soheil, was very patient when I was confused with the receiver's address, which was in the format of Switzerland. Helped me out a lot with packaging when he noticed that I want to ship something that has glass on it. If I was the manager of this post office I will be smiling when I sleep to have him work here."
,"Nghia Huynh, Ca",5,"I experienced bad time and good time with the staff.  But after all , the friendly atmosphere happens with a little patience and understanding and good communication. Be patient when you wait in line."
,Back 2back,5,"Great customer service, thanks to girl that was working there"
,hsurms k,1,"One of MOST PATHETIC HOPELESS AND USELSS CANADA POST LOCATION and its my experience today 6th Jan 2023 at this location for the older lady who was there around 7.30PM. if she DOES NOT KNOW HER JOB AND SAYS SHE IS DOING A FAVOR BY STAYING THERE. SHE SHOULD GET HERSELF FIRED. After coming 3rd after the first time when location was not in service, second when a young lady dint know how to perform the service and told politely. THIS PATHETIC RUDE HOPELESS LADY TODAAY WHO IS NOT INTERESTED IN HER JOB INSTEAD OF POLITELY SAYING SHE IS INCOMPETENT, SAYS SHE DOES A FAVOR OF COMING HERE AND CANNOT DO THE JOB, SHE IS A BLOT TO CANADA POST AND BLOT TO HUMANITY….DARCY, WAYNE FIRE SUCH PEOPLE WHO ARE A DISSERVICE AND CANYT EVEN APOLOGISE FOR THEIR INCOMPETENCE. HOPELESS!!!"
,Anastassiya Puchshina,5,Darcy and his team are amazing! Service is always professional and as quick as possible. The working hours are also perfect for the downtown location.
,Ali Saleem,5,The guy working there was very helpful. Keep it up!
,Audrey B,5,Hashim and Kari did an amazing job answering all my questions and providing me pricing options to send my mail. Hashim also provided up to date information on postal outlets closures and openings in the neighbourbood. A+ team.
,Rosa,1,"Paul has been rude and condescending on multiple occasions.
Recently he told me I had to purchase tape to close my package he wouldn’t let me use the tape on the table.."
,Phil M,5,"Great location, service has always been quick and helpful.

Not sure what the previous 1* review is referring to: the software Canada Post uses on their point of sale systems is the same regardless of franchise or not. Plus the employees are not the franchise owner, so they don't stand to benefit from scamming customers, as the reviewer is accusing them of."
,Bob S,1,"This Canada post will scam you. The older gentleman tried to charge me over $16 for a package I’ve been shipping from other locations for $3.12
They are most likely an independent service center (contractors) so they make money through dishonesty. A real Canada post would not do that because the employees have nothing to gain from overcharging."
,Raghad Rowaida,5,Sent a small parcel to Bangladesh in COVID time. took 11 days to reach. Customer service was very helpful.
,Sandra Yilmaz,5,"In all my years of using this PO, I cannot remember any bad experiences with staff. Whoever I dealt with is always helpful if I have questions, and I am always courteous to them as well.   Sometimes, especially around Christmas, the wait lines can be long.  Best to plan ahead, as staff will be overworked. A smile and a compliment are always helpful at these times."
,A W,1,If I could give zero stars I would. Not just for the Marivale shoppers drug mart Canada post location but for all Canada post locations. I usually go to ups but accidentally printed a Canada post label so I had no choice but to come here. They all require you to purchase tape to stick your label on the box. They will not help you at all. Unlike ups you just drop your box and label they do everything for you.
,Gary Howard,1,"Very poor ! I paid 17$ for an overnight to Peterborough for Sept1
I tracked it and it says arrives Sept 5 . Spoiled the occasion
Shipped Aug 31 to arrive Sept1 Occasion on Sept 2. I was doubly assured by the two clerks it would be no problem ! well done CP"
,Zeina Naserdine,1,"TERRIBLE Customer service, I came in to return a few packages (drop off without a receipt at 4:55PM) the staff wouldn’t take me at all “Jasmeet” the lady serving kept yelling saying she’s going to miss her bus, I told her it was important because today was my last day to return them. She responded with “I DONT CARE GET OUT” another gentleman came in and told everyone else to leave as well. This is extremely unacceptable given her shift wasn’t over,  I will not be coming back to this location. I demand this be addressed and I will be opening up a bigger complaint with the BBB."
,Mandi,1,"Have had to come to this location many times. Staff are always unfriendly. I hate having to pick up my package and deal with this location. I’ve never had one positive experience in all the times I’ve had to go there. All your staff have the same bad attitude. Who runs your hiring process?... They also have different “policies” for each individual. Makes you wonder if they are actually trained or coming up with whatever policy suits them at the time.
Just awful all around."
,Lorne Goldenberg,1,Waited 15 min with no lineup while someone was getting trained on an international shipping.  Asked if I could be helped at another cash as there was no indication of them ever finishing.  The answer was no and they were training for another 3 hours.  Could have walked my packages to Montreal faster 🤷🏻‍♂️
,Guillaume Billette,5,Very fast service and the clerk was nicew.
,Elizabeth H,5,"Every time I go here (and I go here at least once a week, I think I've met everybody who works here), the people behind the counter are friendly and patient and helpful. They're happy to explain different shipping options, answer questions, check you've added enough postage, and lend you a bit of tape/a pen if you forgot yours. Nice place, even if there is sometimes a line."
