Name,Author,Rating,Review Text
,Naaïlah Yodoma,1,"The worst experience I ever had with a delivery service.
The day of the delivery (on Monday )I called them to leave my package without signature since I was at work but they said no and I missed the delivery.
I asked to send the package to a pick up location since their main location is really far from the city. They did a “sorting error TWICE“ TWO days in a row which mean the driver didn’t pickup the right package to make the delivery and we are Friday today and since they are closed on the weekend I have to wait until Monday to have my package. (If they don’t do another sorting error)
I called them to ask for a pickup to their main location since they are incapable of doing the right delivery and I can not spend another weekend without internet but they couldn’t even prepare my package for a pickup before the closing time.
Because of their mistake I spent the whole week and will spend the weekend without internet and I work from home.
Very disappointing experience."
,lud_genesis (genesis011),1,"Unfriendliest staff I’ve ever met they try to rush you out the door, needs a proof of residence even tho I have the emails confirming my order… really just a terrible experience all around"
,J L,1,They do not follow proper procedures and drivers will forge signatures with no attempt of knocking on the door to advise of deliveries. Avoid having packages shipped via Purolator at all costs.
,Michelle S,1,"We ordered new phones through Bell, they were delivered late-while my partner was in Kuwait. Despite having filled out SEVERAL “no signature needed” forms over the years (we live  in the woods), I did not have the means of going to pick them. My partner was calling them from Kuwait to see if they could hold onto our phones past the 5 day maximum they attest to on the pickup ticket since he was in the Middle East. He spent 2-3 hours trying to get through to someone only to have someone say they would call him back. They never did. We went today (Tuesday)-closed! Our new phones are…we are not sure where exactly. If I had known Purolator was the courrier, I’d have stuck with Rogers. TERRIBLE EXPERIENCE AND SERVICE. How are these guys still in business?"
,Guy Lachance,1,I was home but they just didn't attempt to deliver even if it says they did then they declared as having an invalid adresse. The same address intelcom delivered to... Called and chatted customer service 3 times for pickup. Tracking still hasn't updated. Now I have to wait if it will show up ready for pickup anywhere. It's like a slow  package hostage service now.
,saeed ghoddous,5,"Impressive customer support by Zach. Although his shift was almost over, he stayed to help me ship my items. He’s the best."
,Kerry Wilson,2,This is drop off mostly. There really isn’t anyone there to help you if you have a question/concern. It gives the impression that the Home Hardware this desk is located within really doesn’t care that much about the business.
,Boris Shpungin,1,"Came today to this Purolator location to drop off prepaid package. Staff in very rude form refused to accept the package and provide receipt. Try to avoid this establishment and do not waste your time to come here.
Terrible service!"
,Michael,1,"Purolator is by far the worst courier service. Unless you absolutely need to use their services, you will be better off looking elsewhere. Their couriers never bother delivering: they have a simple KPI to visit the address, but the sooner they leave, the sooner they can finish their job. So, if they need to get your signature and you live in an apartment building - bad luck, the courier won't waste their precious time waiting for you to go downstairs, they will just leave a sticker and make you do their job for them next day. Their customer support won't bother helping you."
,Eric L,3,All the way in the back. Isle are freaking small
,Jennifer Turley,1,Horrible service. Each time I go in I’m completely ignored by staff. No tracking receipt given. They want you just to leave package on counter where anyone can take it. Several time my packages have not been delivered. Lost or stolen I suspect.
,Robbie Creswell,5,
,Tania Lavergne,4,
,Noha Omar,5,
,Shreedhar Bhat,3,"Had to drive 30km each side to collect my courier because they dropped in during office hours. Upon requesting to re delivery I was told we cannot getting an estimated time as to when they can try to redeliver. 9- 5 is a pretty wide window to be waiting. When you’re working . Also, pickup available on Saturdays but no delivery. Disappointed!
3 stars because the customer service (on call) was apologetic and provided the best option she could at the time . Please improve your delivery methods . Hoping to come back and give a better rating if improvement are seen🙂.
PS not going to respond to system generated responses that I have been reading in the comments😊"
,Chris Salazar,1,"Received door knocker that my parcel would be ready for p/u at 7pm. Showed up at 710 to no avail. Hung around till 755pm to try again to no avail. Received a text from purolator at 758 stating that my parcel was ready for p/u. I don't normally write reviews good, bad or indifferent but I need to call out a business when they drop the bsll this hard. Super frustrating given that I drove 20mins from home to grab what I needed for work. Crummy service. Second time sound. I will go out of my way to pay extra to avoid this service."
,Adam Smith,1,"Only delivery service that refuses to deliver to my apartment. They don't even leave the delivery slip in a private area, just slap it on the lobby door. Always have to pickup from their wildly out of the way shipping hub. I now cancel any orders that attempt to ship through them since I'll just have to drive out and pick them up anyways."
,Robin G,1,"Delivered my package to a random address in Barrie even with the right address from my end and rogers. No communication while I’m currently being billed from rogers however after calling rogers and dealing with them they helped me out great and got me a new modem, however I know they still do not have their other modem that some random person signed for (wasn’t me) and ended up at some random address, I strongly suggest using Amazon or UPS even Canada post has better customer service and actually answer you. Severely disappointed. Will never use Purolator again if I can help it. This is not the first time this has happened from the company as a whole."
,Naomi Ann,1,The delivery guy did not try to contact me  what do ever to deliver my package. But still continued to say I was not there yet I was. I went to pick my package up at the warehouse and they told me it was not there. Not the first time I’ve had problems they are the WORST. Definitely won’t be using again.
,piyush sawani,1,"Its difficult to find where the drop box is.
I was about to leave but then i thought lets check the back of the building.
No directions, nothing.
I just dropped my parcel there
and
there are so many big parcels in there i am afraid now what if someone steals it.
Tho’ I made sure that my car can be seen in camera just for any problem i receive in my dropoff or anything goes missing."
,Matias Contreras,1,"I was expecting my package to arrive on Oct 19. I got 2 notifications indicating that there were several failed delivery attempts, but I work from home and there are other 3 people living in the same house. Definitely, there was no one even trying to deliver the package. I requested to know a pickup location to go by myself, but this is the 3rd time that nobody gives me that info and the package keeps going again for ""delivery"". It has been 3 days without being able to pick up my item and with nobody showing up at my place. The driver did not even bother leaving a delivery notice, so I have no clues on what's happening. Lastly, the customer service representatives (Susan and Brennan) did not even pay attention to my situation and just copied/pasted template answers indicating that nobody answered the door when the driver arrived these 2 times.

Definitely a terrible service."
,Ashley Pugh,3,"I had an issue and it was resolved 2 weeks after dropping off my package. While I’m glad it was resolved, I think Purolator need to look into the following issues:
When I dropped my package off the opening to the drop box allowed me to see other peoples packages. This could easily lead to theft of any package inside.
My package didn’t show up as scanned anywhere and I didn’t know if it had made it to its destination until today, two weeks later. It was an Amazon return and I was monitoring the return page on the Amazon app. Maybe if I had looked at the tracking number on the Putolator website it would have showed me the status there. So that’s my fault for not checking both websites.

I am glad my package return was successful though."
,Haylan Riley,5,It's a dropbox for mail. Could be more accessible..
,Saumya Shah (Sam),1,It’s been 10 business days and none of the 4 pre paid shipments been picked up or as per tracking number. I wonder if it will ever be on track ! Or were they stolen  from the overfilled drop box ?
,Abubakr Mossa,1,"If it happened that you are expecting a shipment with this company, you need to sit at your doorstep without blinking to catch your shipment. I wrote this review only after missing many deliveries without a real attempt to deliver. So everytime I buy a product and it says that Purolator will deliver, I expect missing the delivery date. They really need to improve their delivery protocol and spend few more ""seconds"" to ""attempt the delivery""."
,Jigar Maheshwari,5,Purolator has big space for Loading and unloading Courier and Delivery products for various companies.  Working culture is really good here and hiring also frequent. Good Parking Area. Greeneries. Near to Bombardier and Domestic Airport of Montreal. However no such food stores available nearby. You have to go bit far to get some good food.
,David,5,Easy pick up and drop off location. Big parking lot. Bus stop right in front. Safe walking entrance. Hand sanitizer at the entrance. Counters to write and prepare pakages. Computer and printer available for clients. Small battery recycling box at this location.
,Shweta Suryavanshi,5,"Good location, huge facility and staff is helpful. Lot of parking spots available. Quick response by workers and they have knowledge about all available services."
,Betty Gagnon,1,"I order something refrigerated, it is clearly indicated everywhere!!!!! But they dont bother to keep it refrigerated. On top of all, they had a delay in the transit and delivery, so everything is lost."
,Z C,1,"After reading all of these reviews, I can see that I am not the only one experiencing delivery issues! Good job Purolator, this company never changes. Despite being home all the time, the courier claimed that receiver was unavailable to receive the package. I even rearranged my schedule to ensure that I would be available, but the package was sent to the Purolator office again. However, sometimes we do not have control over which courier service is used for our deliveries. I will give my feedback to the seller for sure"
,Sebastien Prosper,5,"My second time at this store and I have gotten great service twice. The lady behind the desk was efficient and willing to help. She has short hair, red and black. Thank you for your help in getting my packages sent out."
,Mary Blume,1,"If I could give 0 stars I would. This is the worst delivery experience of my life. The first delivery attempt they claimed they didn't have my unit number and refused delivery. I checked the address, and resubmitted. I left instructions in their page as requested on how to deliver, as I live in an apartment building without a doorman. Second time they claim I was not home, uh did not follow my instructions, or attempt to contact me. They tell me to go pick my stuff up here. Fine. The woman at the counter was so rude, the worst customer service I've EVER received. I showed her my tracking number, my ID and my lease since they require legal proof of address. She REFUSED to give me my package since there was ""handwriting"" on my lease aka my signatures. This policy is beyond ridiculous, she refused to give me my package unless I showed her my CREDIT CARD STATEMENT OR BANK INFORMATION. I refused, that is beyond private information I'm not showing to a random person at the post office. She said if I didn't my only option was to set up redelivery. Fine. I stayed home from work today and now I get a notification that ""we attempted delivery but you weren't home"" I HAVE BEEN HOME ALL DAY. I LITERALLY FEEL LIKE MY PACKAGE IS BEING HELD HOSTAGE. JUST DELIVER MY THINGS ITS NOT HARD! I have been on hold with your customer service for over an hour now. If I ever see Purolator as the shipper again I'm cancelling my order and buying things elsewhere. Horrible company"
,Marc Lavoie,1,"Picking up there was ok. The reason I had to drive 4 hours round trip to help my daughter to pick up a package there because they could not complete their delivery, even though she took 2 days off to be home when they told her they would delivered ... not so pleased. It was a large package, an exercise bike, and I would wager their contractors either didn't have the equipment to move the thing safely or they just couldn't be bothered."
,Marcus Saldanha,1,Service was not the best. If you read Mary Blumes review it sums up the same issues I was having. The lady working the day I went was giving me attitude on top of it.
,Kristina Amja,1,Very bad service. Did not help me at all. I have a return package from Purolator that is prepaid which offers the packing services but she refused to find a solution and package my item. I strongly don’t suggest them.
,ofelia Sanchez Fernandez,5,"for the last 4 year our company Buffalo David Bitton having operatios with Purolator, i should say all these years we have experienced a very well organised and punctual services from Purolator. i should mention the name, Gabriel who has been maintaining extraordinary services as representative of Purolator. no delays, not even a missing had occured by his side. i really appreciate Purolator for having such employees. In future also we seek these well maintained service"
,Aminata,1,"These people NEVER do their job right. How can you deliver a package without even knocking at the door ???? They leave notices with the wrong date and adress, and then when you call customer care they make promises they can stick to. I don’t even know why companies bother working with them….. They are the woooooorssssst."
,Nathan Locke,1,"Zero accountability

Horrible service. Got a notification to pick up a package, when i get there im told it was for someone else and they already picked up. Meanwhile nobody knows where my computer screen is, i wasted hours of my saturday, and they couldn't even register a complaint, they refer to the website. Worst service ever"
,Patrick Modafferi,1,"The note left had the wrong date and time on it, wrong operating hours. Writing was not readable. Driver showed up at a random time not listed on the tracking info...
As if that wasn't bad enough, they gave my package to someone they 'claimed' had my ID (hard to believe) and refused to help in any way, just sent me to go to the police. Very suspicious, would not use this location under any circumstances."
,Mario Wu,1,"Terrible service.
shipped an package with them to a customer in Kingston.
Item tk showed delivered, but it was no where to be found.
Called, for a trace of the package.
They replied. It was delievered to the right address, see proof on the Tracking number. There is nothing we can do, your lost.

WHAT? a shipping company without a valid proof, and tells you are out of luck. no photos... they are not amazon, just their words. we delivered, if not there. your fault for not asking for signature.

A joke"
,Radha Canada,1,"Their customer service is a joke. They probably answer our calls, make a note of our complaint and make paper boats with them. The best thing they can do is of course, Closing. If not, they should close their customer service department."
,E J,1,"Suppose to get a second delivery yesterday. First delivery, I instructed the driver to drop it in the mail room. He said no, he has to give it hand to hand. Strange since I have been receiving AmazonSomeone will be calling be back. 3 days later no call. I called the sender who follow up with them and they were supposed to deliver 24 hours later. Tracking the package, it says ready for pick up in Ville St-Pierre 30-45 minutes from where I live. Now, spending a lot of time on the phone to have someone to ship at least to an office close to where I live. I am wishing myself good luck!"
,jesus varela,1,They never follow instructions deliveries are always in bad shape can't recommend them seriously is a joke
,J X,1,"I also have been having my share of bad services such as no delivery attempts, no updates on the tracking info and where they put something up it’s some unbelievable excuses like unable to delivery due to road closure.
Everyone affected by their bad service has the right to request for their package to be returned to the sender. That’s the only way they will really answer to us because they will have to reimburse for the delivery fees. Then ask the sender to use a more competent delivery company."
,Anne Erta,2,"Oh boy!, this Purolator is very complicated. It seems like they will give a hard time for the receiver. I went to their place twice and not very helpful . I almost return the items to the company's and tell them never never use Purolator. 🙃  I am very disappointed 😞 until now the parcel they put on the locker and I have to call the company about this.  Very complicated. The agent who answered the phone not very helpful too . 🙄  if there is ZERO  rate I will give zero(0)  name your company DELAYED !!!!"
,Shengyue He,1,"""Speechless in awe...""

That was my original post. Within an hour, the owner responded with the text down below.

OK. Bear with me.

To be fair this particular depot is decent, wait time, staff, etc., no worse than any other similar services (pick-up depot). However, since all undelivered parcels are routed here, it becomes a natural target of frustration from dealing with Purolator, all these years.

That promoted a overreaching question: why the delivery success rate is so low compared to other shippers? Why someone was clearly at home then but never was a ring bell heard? Did the driver even tried? Was that the company's policy just to dump everything to the depot instead?

Especially when this depot is not specially easy to reach.

My last shipment was delivered sort-of on schedule. But the one before was a total disaster. Ironically, it was actually delivered, only days after a loss investigation was started. Apparently the truck driver made a false claim that the parcel was delivered to the correct address on time, which then caused me, the seller and Purolator hours to fix.

I asked the seller ""why do you guys engage Purolator"". She couldn't answer."
,Dinesh Kumar,1,"If it were possible, I would give this experience zero stars. After receiving a message stating that the delivery attempt had failed, I was instructed to search for the delivery notice. However, I did not receive any buzzer call or phone call, nor did I find any delivery notice. It is astonishing to me that they could overlook a delivery that may be important and time-sensitive with such ease."
,Louiza Z.,1,"IF I COULD PUT 0 I WILL PUT 0

Attempted delivery Tuesday, Wednesday, and Friday. I was home all days waiting for my package.

Tuesday, when the fake ""attempted delivery was made "" I requested that I will go and collect the package since I will have more chances to get it.

GUESS WHAT?
Wednesday, I received a message telling me that my package is on its way.

GUESS WHAT?
Another ""fake delivery"" attempt??

And today which is Friday.
GUESS WHAT  another failed attempt.

SHAME ON YOU PUROLATOR!

I am not the only one with this experience and yet I see no improvement!"
,yaya,1,"AVOID AT ALL COST!!!!!!!! My friend ordered the new Zelda game for me and even paid for express shipping so I could receive it on my birthday and have a good time. Around 6pm, he tells me that they put “attempted delivery” when they did not pass at all!!! We were home all day!!! There was no attempt at all! And their location is in the middle of nowhere that is barely accessible by transit, let alone foot. It cost me 50$ of uber to go back and forth. Not only do their delivery workers not even bother attempting the delivery but they default it to a location that is complicated to get to! My friend wasted money on express shipping and I ended up having to pay for a game that was meant to be a gift. Awful company and management."
,Rodolfo Delperras,1,"The worst company ever do not work with them and do not try the fast delivery they are just lier and also their customer service is the worst I have ever seen . They don’t try to help but do what they want to do from their head . Everyone should avoid their service even if you have to move to New York go by yourself and don’t wait in any city in Canada because they are the worst ever.
Please guys read all the comment in this page most of the customer are giving 1 and they should remove this company from the market as she is really disrespectful to people and they don’t care about you or what you think !!! Shame on them and on their ceo or director that only sleep instead of honoring customer.
Please contact me so we can sue them to the court thank you"
,Val Michailov,1,"Ignorent, disrespectful, irresponsible people.
If Purolator ships your package there’s 100% certainty you have to run for it. On over 10+ deliveries i had a misfortune to deal with Purolator non was delivered, never did the driver give a call, knock on the door, leave a notice! And I live in Downtown Montreal in a multi storey building, there’s literally not a single option to miss a delivery. But these guys do it (on purpose?) out of their lack of training(?), company values(?). Such recklessness can be a coincidence a few times, but with the consistency Purolator fails to fulfil its obligations, its management keeps proving that their clients’ comfort is their least priority. What I recommend to every customer, when placing orders with merchants specifically ask that the delivery be made through anyone other then Purolator. This works with BestBuy, Amazon, Bell if you specifically ask for this during checkout."
,Nathan,1,"(This review is for Expert Shipping, not Purolator, although the return carrier is Purolator). I returned an amazon package. The guy was very busy (there was a line up) and said to just « leave it » . I figured I would trust the guy, because he was so busy, and Ive been his shoes before… Big mistake.. still havent gotten the refund and it has been 2 weeks. I guess the guy just kept the package to himself."
,Oli ver,1,"Always late! Sometimes they just dont do their job... When you are supposed to receive a package requiring a signature, they leave the package in front of your door without notification."
,Alexandre Willame,1,"They use illegal charge practises, they take zero responsibility if they damage or loose any of your packages, they are rude to clients and very unprofessional, avoid this place and go to the DHL store next to Beaubien metro (or the one next to McGill metro downtown), or the UPS Store next to Sherbrook metro as an alternative.

They make you pay for package drops even if the shipping are already paid. I used to drop packages there and they never charged me before, the girl told me they will charge me 5$ per package, when I asked her to show me where this rule is, she told me to check the website. After I found nothing on the website and asked her to show me where it was, she was first very rude and would not explain why she chose to charge me now but never did in the past. She then called her manager, and after a while, told me that her manager told her it was 5$ per package (so the rule was nowhere to be found on the website). After giving up per lost of time, I end up agreeing to a proposal she made (5$ for the lot of 6 packages). When it is time to pay, she charged me 23$, saying it's a favor because it should be more, totally ignoring she told me it would be 5$ before handling the packages. I ended up having to accept the surcharge by lack of time as it was closing time.

Also, when I got back home, I realized they wrote on the receipt they were not responsible for any loss or damage of the package they handle, basically giving them a free pass to do whatever they want with your package if they don't like your face or whatever. I would have never agreed to leave my valuable packages if I would have knew of that beforehand, and certainly not after having paid a surcharge for them to take care of the packages."
,Linda Morin,3,I had an excellent experience today with the person at the counter however I gave 3 stars because I received an email yesterday stating that the delivery could not be made because nobody was home which is false. I work from home and we have a 24/7 receptionist that signs for packages. If you are sick or in an accident I totally understand but lying is a different story. I had to rent a car to pick up the package. This is not the first time this has happened.
,Marie-Claude Breton,2,"I was waiting for a delivery today. I had registered for “Avoid missed deliveries.
Track your package with SMS notifications” even though I new I’d be home all day. Doorbell never rang nor did I receive an SMS. Thought I’d check the delivery status at 3:30… What do I see: 	Delayed in transit due to missed connection at 8:00 AM and at 3:22 PM. Meanwhile, I’ve been home all day waiting for my package.
Chatted with the AI which was useless, called the toll free to get the AI again and, asked to speak to a human person to see if I could pick up my parcel at the Purolator Centre instead of waiting for another delivery attempt on Monday. Wait is over 45 minutes so I hung up.
Hopefully, they will deliver on Monday. I will be home waiting!!
Side note: I see many negative comments about their opening hours. I think 7:00 AM to 8:30 PM on week days are very decent hours."
,Gurl Gates,1,"Doesn't ask if you want your package left at doorstep. Ruins the effect of ordering a preorder. Cant read the delivery notice because the handwriting is horrible. The open hours are horrible, i wont be able to pick up my package. Had I known, i would've never ordered from a company that ships with purolator. 0/10. The AI is also useless."
,MAISON DES VALISES,1,"I am asking all companies please stop make Delvery with this courier. I received call from my buzzer and I opened the door downstairs,he said I have Delvery. And I told him it is on 8th floor. Beside that I went to down and I saw he puts note for pick up. Such worst ever experience. It is happened 3 times with this garbage courier company no respect at all."
,Alexandr Constantinov,1,"Never again!!!!!! Correct address, correct telephone number and present at home, he passes by and then indicates on the tracking of the package “Recipient inaccessible”."
,Nerella Collot,1,Not open 24 hrs. Better off going to Bureau en gros.
,Exclusively Cris,1,"IT IS NOT 24/7 There are NO sigh of any kind, I turned around for 15 min"
,Aquatic Chicken,1,"Says 24/h but its closed after 5pm ish beware
I went at 8 and it was closed
Go to the outdoor dropbox near cosmodome instead
Learnt it the hard way"
,Caro,1,Company paid by the Cr!minals from the Government.....PUSHIJG A POISON INJECTION AT YOUR EMPLOYEES. KILLING THEM AS IT HAS PROVEN IT DOES NOT WORK FOR WHAT IT SAID IT DOES AND IT Wasn't EVEN TESTED. I WILL NEVER USE THIS GARBAGE OF A COMPANY. ALREADY Your SERVICE IS NOT GOOD
,Keven Clément,1,If I could leave a 0 i could!! They left my package ( 340$) on the side walk in front my app... The note said: i work from home call me. They didnt. They do not care about customer they care about money. Worst delivery ever ill ask for a refund on amazonr every time i see its them
,ronald arsenault,1,"Terrible service. there was someone at delivery site (residential). The door belle never rang. They left a sticker on the door. I went to pick up, showed driver's license (My name different address), email with invoice and tracking number for my purchase, the notice left at the door. They would not give me my package as the address on my license was different that the delivery site.

You can only ship to your address on your drivers license?"
,Chia Fan Hsu,1,"The worst experience ever. I order through Amazon. The first time they tried to deliver I was not home, and the message showed that they will try to deliver again but it didn't happen. I contact Amezone the same day, and they said they are going to deliver the next day but it never happen! I waited the whole day but no phone call, no email, no text message. It was the product I need it for an important event, now I have nothing."
,Incineroar,1,"We were at home until noon with 2 dogs who always bark when the doorbell rings. The doorbell did not ring once, and we left around 12.05 after checking the mail to see no delivery slip. After returning home after 3pm, we returned home to a delivery slip dated for for 11.26. And now I have to go out in the middle of a heatwave to go get important legal documents I need to go across the whole danged island to deal with my recently deceased father's estate.

This isn't the first time they have messed up my delivery, but this is easily the most stressful time they've done this. I have been dealing with estate issues for over a year, and when it's finally over, I have to go dig through my RECENTLY DECEASED FATHER'S paperwork looking for everything I need all over again.

Horrible, horrible experience."
,abe hirrino,1,"I ordered something on Amazon. I was supposed to receive it the next day. I didn’t receive the item. I called Purolator No answer. I checked with Amazon they told its lost. Two day later I received a call from Purolator telling me to come pick up the item on ville d’Anjou. I asked the person to deliver the item to my work. They said okay. The next days I received another call informing me that it will cost me 38$ if I change the address, they said but it’s free of charge if you pick it up from a store on Saint Laurent street, fine.
I went to the store the tracking number doesn’t exist on their computer. I think the delivery guy didn’t even bother to do his job."
,Evelyn Kraneck,1,"I have never had a good experience with Purolator, but the last time they were even worst. So they didn’t left any notice that they have tried to deliver my package at my address, later consulting my tracking number I figured that they’d sent my package for counter pick up at their distribution center (remember no notice at my address how should I guess) and after 5 days sent back my package to sender. It is just a headache to work with them! Do not recommend."
,Mostapha El Shafey,1,"Extremely unprofessional company, and customer service always shifts the blame to the driver, they always just claim that they don't know why the driver didn't deliver the package. How convenient for them. They never actually attempt delivery (confirmed), and after a few days they just tell you to come pick up your package from their warehouse two hours away. I'm starting to think this company is just a scam? They take your money for a delivery service, then they tell you to go pick up your package yourself. Unbelievable how they are still in business."
,Kevin Parker,5,Great! I've sent and received packages without issue... Not sure why people complain they don't jump through hoops in their back yards...
,Abram Sez,1,"I have never successfully received a package from purolator on the first attempt, even though I am almost always home when the delivery slip is left. Then they want me to drive an hour to go pick it up. Absolutely ridiculous. I have stopped buying from retailers who use them because it always ends up being a huge hassle."
,Julien,1,"Terrible service, truck door counterweights were broken. Nearly broke my back opening it. They didn't care at all and every single staff was as rude as soviet bureaucrats"
,Tidjani Faradj,1,Is this office even real? If so why did my package got sent to Anjou instead of here.
,Chris Tirtirau,1,"I paid 40$ to have a package delivered by Purolator. A week later I get a notice saying the package had been delivered, although, no delivery, no signature. 2 hrs later I noticed online an ""Attention"" alert, saying that I have to go pick it up at their depot. This is the worst delivery service in Canada. One star is being generous, but we don't have the option for zero stars..."
,Florin Gheorghe,2,"How is posible to to be charged more than 1000$ for a package less than 10kg to be sent, that worth around 150$? Does not make any sense. Crazy and désappointement."
,Billy Joe Aggabao,1,Delivery guy Dialed in for a delivery but did not really go inside for delivery. I work from home so the guy did not really want to deliver the package. Instead left a note. Vaudreuil dorion area! Get a better delivery driver.
,Nicolas Bouchard Coombs,2,"I am current at four out of four deliveries from Purolator where the driver never bothered to attempt a delivery (one of these was after a fresh snowfall and there were no tracks anywhere!). The driver, four times out of four, did not leave a note. I would not recommend Purolator to anyone. I have not encountered this with Amazon, FedEx, Intelcom, UPS, or Canada Post (despite both Canada Post and Purolator, last I checked, being managed by the same parent company); they all have always at least made a token effort at delivering the parcel they have.

The depot is pretty out of the way, and I see that the hours were changed such that it is not even open 12-4. So now not only is it a pain to receive the parcels in the first place, but picking them up at the depot is more of a pain than it already was before.

I give two stars rather than one only because I have not had problems with the employees at the pickup counter once there. I could see in their faces that I was far from the first who had voiced my complaints to them about the drivers."
,France Miron,1,"Waited all day for an urgent package to arrive. At 3pm decided to check the status online and saw ""Attempted delivery - receiver unavailable"". I'm working from home!! They definitively didn't come at all. Worst thing is says to check my notice. Well there isn't any obviously. This is so frustration. Get better drivers that will actually do their job in the Vaudreuil-Dorion area. This is not the first time this has happened. Now I don't know how to get my urgent package."
,Barry McGarr,1,"Worst service. Had next day delivery and at 1pm tracker said it was out for delivery by 8:30pm still a no show so I called and they said it would be tomorrow or day after. When I asked why they tried to blame sender (but it was on the truck at 1pm) and on top of that they tried and went back in tracker system and chaned status of delivery to delayed at 5:30 but I called the at 8:30 and at that time tracking still said out for delivery. They lied and are sketchy, customer service dont care. Don't trust them with important package that need to be on time."
,Kromad Inc.,1,"Worst delivery company. Worst customer service. I'd advise anyone to find any other carrier service available before selecting Purolator. Why is there no zero star option? Even a star is too much for them. I've never been this angry with any other company in my 30 years of existence. Leaving the country now for the winter and ordered a package with 30$ overnight delivery, yet Purolator, no matter how much you pay for shipping, cannot make it happen. It's been 4 days of waiting for my package that I will never end up receiving. And lost money on top of it. Called customer service, used the Live Chat option, did what I had to do and they're only response is ""I'm sorry you feel this way"". Avoid at all cost."
,Serge Ma,3,This is not a package drop-off location. This is a Purolator 'maintenance center'. Not open to public.
